City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
565,Qui Nhon,VN,72.72,overcast clouds,13.7667,109.2333,
568,Manali,IN,84.29,overcast clouds,13.1667,80.2667,
569,Ocos,GT,75.0,clear sky,14.5094,-92.1933,
573,Zvishavane,ZW,87.48,scattered clouds,-20.3267,30.0665,
576,Charters Towers,AU,75.87,overcast clouds,-20.1,146.2667,
578,Rock Sound,BS,75.09,clear sky,24.9,-76.2,
583,Saint-Leu,RE,81.46,light rain,-21.15,55.2833,
592,Porto Nacional,BR,77.0,broken clouds,-10.7081,-48.4172,
595,Iquitos,PE,75.24,overcast clouds,-3.7481,-73.2472,
598,Teahupoo,PF,73.36,light rain,-17.8333,-149.2667,
599,Sambava,MG,85.96,overcast clouds,-14.2667,50.1667,
601,Kieta,PG,81.45,overcast clouds,-6.2167,155.6333,
602,Gayeri,BF,87.8,clear sky,12.6497,0.4931,
605,Bhan,PK,70.99,clear sky,26.5583,67.7214,
606,Bac Lieu,VN,78.39,overcast clouds,9.285,105.7244,
608,San Javier,ES,74.46,clear sky,37.8063,-0.8374,
618,Tshela,CD,83.37,overcast clouds,-4.9833,12.9333,
620,Barinas,VE,85.69,scattered clouds,8.6226,-70.2075,
623,Saint-Joseph,RE,80.98,light rain,-21.3667,55.6167,
628,Rocha,UY,76.37,broken clouds,-34.4833,-54.3333,
629,Oum Hadjer,TD,88.07,clear sky,13.2954,19.6966,
634,Vryburg,ZA,85.75,broken clouds,-26.9566,24.7284,
638,Abu Dhabi,AE,77.11,clear sky,24.4667,54.3667,
642,Madang,PG,78.53,broken clouds,-5.2246,145.7966,
650,Boca Do Acre,BR,75.24,overcast clouds,-8.7522,-67.3978,
652,Iguape,BR,79.99,overcast clouds,-24.7081,-47.5553,
653,Bitung,ID,76.05,broken clouds,1.4451,125.1824,
654,Casambalangan,PH,74.79,broken clouds,18.3765,122.1274,
656,San Jose De Guanipa,VE,77.45,clear sky,8.8872,-64.1651,
657,Itarema,BR,84.29,overcast clouds,-2.9248,-39.9167,
659,Winneba,GH,88.27,clear sky,5.3511,-0.6231,
660,Ipojuca,BR,85.91,broken clouds,-8.3989,-35.0639,
661,Sawakin,SD,75.6,broken clouds,19.1059,37.3321,
662,Lufilufi,WS,74.98,overcast clouds,-13.8745,-171.5986,
664,Cabatuan,PH,73.8,overcast clouds,10.8794,122.486,
666,Hervey Bay,AU,74.03,overcast clouds,-25.2986,152.8535,
668,Guiuan,PH,78.28,light rain,11.0333,125.7247,
670,Porto Novo,BJ,87.62,clear sky,6.4965,2.6036,
673,Cururupu,BR,82.4,overcast clouds,-1.8283,-44.8683,
675,Ndungu,TZ,87.96,overcast clouds,-4.3667,38.05,
676,Lethem,GY,80.65,scattered clouds,3.3803,-59.7968,
677,Puri,IN,77.52,clear sky,19.8,85.85,
679,Mackay,AU,80.58,scattered clouds,-21.15,149.2,
683,Marzuq,YE,82.38,scattered clouds,14.4,46.4667,
685,Tacoronte,ES,70.12,clear sky,28.4769,-16.4102,
687,Manggar,ID,80.71,scattered clouds,-2.8833,108.2667,
690,Grand Gaube,MU,81.37,overcast clouds,-20.0064,57.6608,
691,Narasannapeta,IN,73.35,clear sky,18.4167,84.05,
695,Lago Da Pedra,BR,81.52,overcast clouds,-4.3333,-45.1667,
